Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,196,706,Unf,0,150,856,Normal,208500
2,20,RL,80,9600,Pave,Reg,Lvl,AllPub,Veenker,Feedr,NA,1Fam,1Story,6,8,1976,1976,Gable,0,978,Unf,0,284,1262,Normal,181500
3,60,RL,68,11250,Pave,IR1,Lvl,AllPub,CollgCr,Norm,,1Fam,2Story,7,5,2001,2002,Gable,162,486,Unf,0,434,920,Normal,223500
4,70,RL,60,9550,Pave,IR1,Lvl,AllPub,Crawfor,Norm, ,1Fam,2Story,7,5,1915,1970,Gable,0,216,Unf,0,540,756,Abnorml,140000
5,60,RL,84,14260,Pave,IR1,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,350,655,Unf,0,490,1145,Normal,250000
6,50,RL,85,14115,Pave,IR1,Lvl,AllPub,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,0,732,Unf,0,64,796,Normal,143000
7,20,RL,75,10084,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,186,1369,Unf,0,317,1686,Normal,307000
8,60,RL,NA,10382,Pave,IR1,Lvl,AllPub,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,240,859,BLQ,32,216,1107,Normal,200000
9,50,RM,51,6120,Pave,Reg,Lvl,AllPub,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,0,0,Unf,0,952,952,Abnorml,129900
10,190,RL,50,7420,Pave,Reg,Lvl,AllPub,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,0,851,Unf,0,140,991,Normal,118000
11,20,RL,70,11200,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,0,906,Unf,0,134,1040,Normal,129500
12,60,RL,85,11924,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,286,998,Unf,0,177,1175,Partial,345000
13,20,RL,NA,12968,Pave,IR2,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,0,737,Unf,0,175,912,Normal,144000
14,20,RL,91,10652,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,306,0,Unf,0,1494,1494,Partial,279500
15,20,RL,NA,10920,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,212,733,Unf,0,520,1253,Normal,157000
16,45,RM,51,6120,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,0,0,Unf,0,832,832,Normal,132000
17,20,RL,NA,11241,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,180,578,Unf,0,426,1004,Normal,149000
18,90,RL,72,10791,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,0,0,NA,0,0,0,Normal,90000
19,20,RL,66,13695,Pave,Reg,Lvl,AllPub,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,0,646,Unf,0,468,1114,Normal,159000
20,20,RL,70,7560,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,0,504,Unf,0,525,1029,Abnorml,139000
21,60,RL,101,14215,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,380,0,Unf,0,1158,1158,Partial,325300
22,45,RM,57,7449,Pave,Reg,Bnk,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,0,0,Unf,0,637,637,Normal,139400
23,20,RL,75,9742,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,281,0,Unf,0,1777,1777,Normal,230000
24,120,RM,44,4224,Pave,Reg,Lvl,AllPub,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,0,840,Unf,0,200,1040,Normal,129900
25,20,RL,NA,8246,Pave,IR1,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,0,188,ALQ,668,204,1060,Normal,154000
26,20,RL,110,14230,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,640,0,Unf,0,1566,1566,Normal,256300
27,20,RL,60,7200,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,0,234,Rec,486,180,900,Normal,134800
28,20,RL,98,11478,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,200,1218,Unf,0,486,1704,Normal,306000
29,20,RL,47,16321,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,0,1277,Unf,0,207,1484,Normal,207500
30,30,RM,60,6324,Pave,IR1,Lvl,AllPub,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,0,0,Unf,0,520,520,Normal,68500
31,70,C (all),50,8500,Pave,Reg,Lvl,AllPub,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,0,0,Unf,0,649,649,Normal,40000
32,20,RL,NA,8544,Pave,IR1,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,0,0,Unf,0,1228,1228,Normal,149350
33,20,RL,85,11049,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,0,0,Unf,0,1234,1234,Normal,179900
34,20,RL,70,10552,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,0,1018,Unf,0,380,1398,Normal,165500
35,120,RL,60,7313,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,246,1153,Unf,0,408,1561,Normal,277500
36,60,RL,108,13418,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,132,0,Unf,0,1117,1117,Normal,309000
37,20,RL,112,10859,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,0,0,Unf,0,1097,1097,Normal,145000
38,20,RL,74,8532,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,650,1213,Unf,0,84,1297,Normal,153000
39,20,RL,68,7922,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,0,731,Unf,0,326,1057,Abnorml,109000
40,90,RL,65,6040,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,0,0,NA,0,0,0,AdjLand,82000
41,20,RL,84,8658,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,101,643,Unf,0,445,1088,Abnorml,160000
42,20,RL,115,16905,Pave,Reg,Lvl,AllPub,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,0,967,Unf,0,383,1350,Normal,170000
43,85,RL,NA,9180,Pave,IR1,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,0,747,LwQ,93,0,840,Normal,144000
44,20,RL,NA,9200,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,0,280,BLQ,491,167,938,Normal,130250
45,20,RL,70,7945,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,0,179,BLQ,506,465,1150,Normal,141000
46,120,RL,61,7658,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,412,456,Unf,0,1296,1752,Normal,319900
47,50,RL,48,12822,Pave,IR1,Lvl,AllPub,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,0,1351,Unf,0,83,1434,Abnorml,239686
48,20,FV,84,11096,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,0,24,Unf,0,1632,1656,Normal,249700
49,190,RM,33,4456,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,0,0,Unf,0,736,736,Partial,113000
50,20,RL,66,7742,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,0,763,Unf,0,192,955,Normal,127000
51,60,RL,NA,13869,Pave,IR2,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,0,182,Unf,0,612,794,Normal,177000
52,50,RM,52,6240,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,0,0,Unf,0,816,816,Normal,114500
53,90,RM,110,8472,Grvl,IR2,Bnk,AllPub,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,0,104,GLQ,712,0,816,Normal,110000
54,20,RL,68,50271,Pave,IR1,Low,AllPub,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,0,1810,Unf,0,32,1842,Normal,385000
55,80,RL,60,7134,Pave,Reg,Bnk,AllPub,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,0,384,Unf,0,0,384,Normal,130000
56,20,RL,100,10175,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,272,490,Unf,0,935,1425,Normal,180500
57,160,FV,24,2645,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,456,649,Unf,0,321,970,Abnorml,172500
58,60,RL,89,11645,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,0,0,Unf,0,860,860,Normal,196500
59,60,RL,66,13682,Pave,IR2,HLS,AllPub,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,1031,0,Unf,0,1410,1410,Partial,438780
60,20,RL,60,7200,Pave,Reg,Bnk,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,0,632,Unf,0,148,780,Normal,124900
61,20,RL,63,13072,Pave,Reg,Lvl,AllPub,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,0,941,Unf,0,217,1158,Partial,158000
62,75,RM,60,7200,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,0,0,Unf,0,530,530,Normal,101000
63,120,RL,44,6442,Pave,IR1,Lvl,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,178,24,Unf,0,1346,1370,Normal,202500
64,70,RM,50,10300,Pave,IR1,Bnk,AllPub,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,0,0,Unf,0,576,576,Normal,140000
65,60,RL,NA,9375,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,573,739,Unf,0,318,1057,Normal,219500
66,60,RL,76,9591,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,344,0,Unf,0,1143,1143,Normal,317000
67,20,RL,NA,19900,Pave,Reg,Lvl,AllPub,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,287,912,Unf,0,1035,1947,Normal,180000
